순번,본부,협약연도,주유소명,대표자,구분,주소(전체),전화번호,상표,품질 적합 여부
422,강원,2026,도계농협클린주유소,김성태,갱신,강원 삼척시 강원남부로1818 (도계읍) ,033-541-1170,농협,적합
423,수남,2026,부발농협주유소,황선명,갱신,경기 이천시 무촌로173 (부발읍) ,031-633-3206,농협,적합
424,대세충,2026,서서천농협주유소,신흥식,갱신,충남 서천군 서인로824 (서면) ,041-952-8251,농협,적합
425,대세충,2026,세종부강농업협동조합주유소,김기주,갱신,세종 부강외천로10 (부강면) ,044-868-6145,농협,적합
426,충북,2026,옥화대주유소,이봉기 외 3명,갱신,충북 청주시 상당구 남부로6705 (미원면) ,043-298-1230,석유공사,적합
427,전북,2026,우리유통(주),박원우,갱신,전북 익산시 호남고속도로191 (여산면) ,063-836-5246,도로공사,적합
428,수남,2026,포곡농협가득채움주유소,김순곤,갱신,경기 용인시 처인구 석성로871 (포곡읍) ,031-321-5844,농협,적합
429,대경,2026,현곡농협클린주유소,서재천,갱신,경북 경주시 용담로498 (현곡면) ,054-745-9114,농협,적합
430,대경,2026,의성(영덕)주유소,김길생,갱신,경북 의성군 새못안길45-47 (안계면),054-862-9254,도로공사,적합
431,대경,2026,의성(청주)주유소,김길생,갱신,경북 의성군 새못안길45-49 (안계면),054-862-9036,도로공사,적합
432,광전,2026,(주)피디텍 광양알뜰주유소,박진완 외 1명,갱신,전남 광양시 백운로160 (광양읍) ,061-763-5566,석유공사,적합
433,대경,2026,남대교주유소,김기현,갱신,경북 칠곡군 남구미로189 (석적읍) ,054-971-4700,석유공사,적합
434,광전,2026,독립로주유소,김길곤,갱신,광주 남구 독립로143 (월산동) ,062-363-5189,석유공사,적합
435,대세충,2026,서창산업(주) 서천(서울방향)주유소,최윤묵 외 2명,갱신,충남 서천군 서해안고속도로168 (비인면) ,041-952-9735,도로공사,적합
436,수남,2026,서창산업(주) 용인(강릉방향)주유소,최윤묵 외 2명,갱신,경기 용인시 처인구 주북로94번길30 (양지면) ,031-332-3221,도로공사,적합
437,수남,2026,서창산업(주) 용인(인천방향)주유소,최윤묵 외 2명,갱신,경기 용인시 처인구 주북로66-16 (고림동) ,031-339-2262,도로공사,적합
438,광전,2026,시카프관광개발(주)곡성(순천)주유소,김대원,갱신,전남 곡성군 호남고속도로49-1 (겸면) ,061-362-5955,도로공사,적합
439,대경,2026,영주농협주유소,남정순,갱신,경북 영주시 구성로11 (조암동) ,054-638-5180,농협,적합
440,대경,2026,임고농협클린주유소,최용수,갱신,경북 영천시 포은로424 (임고면) ,054-336-7751,농협,적합
441,광전,2026,장흥정남진주유소,이경실,갱신,전남 장흥군 남해고속도로41 (부산면) ,070-4105-1852,도로공사,적합
442,전북,2026,정읍녹두장군(천안)주유소,김범수,갱신,전북 정읍시 하북1길227-23 (북면) ,063-533-0903,도로공사,적합
443,충북,2026,제천농협주유소,박근수,갱신,충북 제천시 의림대로394 (고암동) ,043-652-5185,농협,적합
444,부울경,2026,주식회사 나이스디앤에스 울주(울산방향)주유소,김윤종,갱신,울산 울주군 함양울산고속도로134 (삼동면) ,052-977-2243,도로공사,적합
445,부울경,2026,주식회사 나이스디앤에스 울주(함양방향)주유소,김윤종,갱신,울산 울주군 함양울산고속도로133 (삼동면) ,052-977-3243,도로공사,적합
446,강원,2026,태백농협주유소,김병두,갱신,강원 태백시 태백로708 (화전동) ,033-552-9033,농협,적합
447,대경,2026,하빈농협클린주유소,이해성,갱신,대구 달성군 하빈로380 (하빈면) ,053-582-6619,농협,적합
448,부울경,2026,함양(통영)주유소,김대원,갱신,경남 함양군 효산길23-31 (지곡면) ,055-963-8762,도로공사,적합
449,부울경,2026,함양(하남)주유소,김대원,갱신,경남 함양군 효산길23-11 (지곡면) ,055-964-1041,도로공사,적합
450,강원,2026,(주)행복드림,조재호,갱신,강원 원주시 원문로402 (호저면) ,033-747-2670,석유공사,적합
451,대경,2026,그린주유소,김언수,갱신,대구 수성구 달구벌대로2899 (연호동) ,053-792-0891,석유공사,적합
452,부울경,2026,농소농협알뜰주유소,정성락,갱신,울산 북구 매곡로11 (신천동) ,052-293-5145,농협,적합
453,대경,2026,동해농협주유소,안희식,갱신,경북 포항시 남구 일월로113 (동해면) ,054-286-1199,농협,적합
454,광전,2026,세지농협주유소,이은상,갱신,전남 나주시 예향로3138 (세지면) ,061-337-5087,농협,적합
455,제주,2026,하귀농협주유소,강병진,갱신,제주 제주시 일주서로7136 (애월읍) ,064-720-1870,농협,적합
456,부울경,2026,거창농업협동조합주유소,신중갑,갱신,경남 거창군 거함대로3179 (거창읍) ,055-944-5104,농협,적합
457,대경,2026,(주)나이스디앤에스경산(서울방향)주유소,김윤종,갱신,경북 경산시 대학로1089 (진량읍) ,053-851-7025,도로공사,적합
458,대경,2026,선남농협클린주유소,노시영,갱신,경북 성주군 성주로3963 (선남면) ,054-932-1198,농협,적합
459,대경,2026,성주농협주유소,이해간,갱신,경북 성주군 성주읍1길1 (성주읍) ,054-933-2075,농협,적합
460,부울경,2026,(주)이엠석유 영산(하)주유소,변성해,갱신,경남 창녕군 장척호수길56-110 (영산면) ,055-521-3284,도로공사,적합
461,대경,2026,씨앤에스에너지㈜ 경주(부산방향)주유소,전준용 외 1명,갱신,경북 경주시 경부고속도로59-1 (내남면) ,054-748-3427,도로공사,적합
462,강원,2026,키다리식품(주) 홍천(서울)주유소,이명수,갱신,강원 홍천군 서울양양고속도로83-1 (화촌면) ,033-436-7887,도로공사,적합
463,강원,2026,키다리식품(주) 홍천(양양)주유소,이명수,갱신,강원 홍천군 서울양양고속도로84-1 (화촌면) ,033-436-7997,도로공사,적합
464,부울경,2026,합천농협주유소,나상정,갱신,경남 합천군 대야로900 (합천읍) ,055-933-8600,농협,적합
465,충북,2026,충주농협주유소,최한교,갱신,충북 충주시 탄금대로364 (칠금동) ,043-851-3651,농협,적합
466,충북,2026,(주)서림주유소,강남희,갱신,충북 충주시 형설로102 (용산동) ,043-848-8886,석유공사,적합
467,충북,2026,단비주유소,장주경,갱신,충북 청주시 청원구 상당로281-1 (내덕동) ,043-221-5189,석유공사,적합
468,전북,2024, 보령물산(주) 고창고인돌 (서울)주유소,최만규,신규,전북 고창군 서해안고속도로80-1 (신림면),063-561-0963,도로공사,적합
